profile,buren,value,n_sample
1,BU01935100,20.35,1134
2,BU01935100,9.56,1134
3,BU01935100,19.91,1134
4,BU01935100,49.28,1134
5,BU01935100,0.9,1134
1,BU02020528,56.56,1353
2,BU02020528,4.65,1353
3,BU02020528,16.4,1353
4,BU02020528,20.36,1353
5,BU02020528,2.03,1353
1,BU02220505,19.65,475
2,BU02220505,5.24,475
3,BU02220505,19.35,475
4,BU02220505,54.8,475
5,BU02220505,0.96,475
1,BU03270001,27.56,489
2,BU03270001,2.85,489
3,BU03270001,24.03,489
4,BU03270001,44.42,489
5,BU03270001,1.14,489
1,BU0363MQ05,9.73,2304
2,BU0363MQ05,8.1,2304
3,BU0363MQ05,38.21,2304
4,BU0363MQ05,43.79,2304
5,BU0363MQ05,0.17,2304
1,BU04792112,27.37,138
2,BU04792112,3.16,138
3,BU04792112,24.65,138
4,BU04792112,41.85,138
5,BU04792112,2.97,138
1,BU05020115,15.12,984
2,BU05020115,4.95,984
3,BU05020115,15.5,984
4,BU05020115,59.53,984
5,BU05020115,4.9,984
1,BU05020553,23.37,373
2,BU05020553,9.81,373
3,BU05020553,18.94,373
4,BU05020553,44.33,373
5,BU05020553,3.54,373
1,BU05031200,54.09,260
2,BU05031200,1.76,260
3,BU05031200,7.4,260
4,BU05031200,33.63,260
5,BU05031200,3.12,260
1,BU05230108,46.67,331
2,BU05230108,6.0,331
3,BU05230108,10.63,331
4,BU05230108,28.57,331
5,BU05230108,8.12,331
1,BU05230302,31.65,971
2,BU05230302,1.13,971
3,BU05230302,13.21,971
4,BU05230302,47.3,971
5,BU05230302,6.71,971
1,BU05560405,6.67,39
2,BU05560405,0.7,39
3,BU05560405,26.64,39
4,BU05560405,65.01,39
5,BU05560405,0.98,39
1,BU07570100,32.48,633
2,BU07570100,5.72,633
3,BU07570100,21.55,633
4,BU07570100,39.15,633
5,BU07570100,1.1,633
1,BU07840106,26.06,2297
2,BU07840106,6.07,2297
3,BU07840106,11.74,2297
4,BU07840106,54.26,2297
5,BU07840106,1.87,2297
1,BU08555602,27.78,1656
2,BU08555602,6.19,1656
3,BU08555602,17.36,1656
4,BU08555602,41.85,1656
5,BU08555602,6.82,1656
1,BU08555702,25.79,1442
2,BU08555702,5.69,1442
3,BU08555702,18.16,1442
4,BU08555702,43.67,1442
5,BU08555702,6.68,1442
1,BU08990208,25.67,719
2,BU08990208,14.71,719
3,BU08990208,13.66,719
4,BU08990208,42.81,719
5,BU08990208,3.15,719
1,BU09350105,13.62,121
2,BU09350105,2.85,121
3,BU09350105,29.91,121
4,BU09350105,53.42,121
5,BU09350105,0.21,121
1,BU09460502,24.98,199
2,BU09460502,6.54,199
3,BU09460502,15.54,199
4,BU09460502,50.74,199
5,BU09460502,2.2,199
1,BU16550401,27.99,3995
2,BU16550401,5.1,3995
3,BU16550401,20.86,3995
4,BU16550401,42.72,3995
5,BU16550401,3.33,3995
1,BU18950502,23.73,435
2,BU18950502,8.73,435
3,BU18950502,20.16,435
4,BU18950502,43.28,435
5,BU18950502,4.1,435
1,BU19030502,23.55,605
2,BU19030502,5.35,605
3,BU19030502,17.63,605
4,BU19030502,51.53,605
5,BU19030502,1.94,605
1,BU19311200,20.52,3162
2,BU19311200,3.43,3162
3,BU19311200,17.49,3162
4,BU19311200,56.19,3162
5,BU19311200,2.37,3162
1,BU19480106,25.66,190
2,BU19480106,3.42,190
3,BU19480106,14.5,190
4,BU19480106,54.81,190
5,BU19480106,1.62,190
1,BU19920101,34.25,1093
2,BU19920101,9.95,1093
3,BU19920101,14.47,1093
4,BU19920101,37.07,1093
5,BU19920101,4.25,1093
