profile,Provincies_Naam,gender,value,n_sample
1,Drenthe,1.0,0.2215685182752165,204636
1,Drenthe,2.0,0.2145004419548203,199527
2,Drenthe,2.0,0.052749161077859,199527
2,Drenthe,1.0,0.0540483385177543,204636
3,Drenthe,2.0,0.1877139459143126,199527
3,Drenthe,1.0,0.1702717908393683,204636
4,Drenthe,1.0,0.5183172287640607,204636
4,Drenthe,2.0,0.5135367938898576,199527
5,Drenthe,1.0,0.0357941236035999,204636
5,Drenthe,2.0,0.031499657163149,199527
1,Flevoland,1.0,0.2634668980233417,167740
1,Flevoland,2.0,0.2426875893179707,165075
2,Flevoland,1.0,0.0703890375487996,167740
2,Flevoland,2.0,0.0689693254522356,165075
3,Flevoland,1.0,0.1330656485421796,167740
3,Flevoland,2.0,0.1521197079272445,165075
4,Flevoland,1.0,0.4554608457328384,167740
4,Flevoland,2.0,0.4640242461044941,165075
5,Flevoland,1.0,0.0776175701528404,167740
5,Flevoland,2.0,0.0721991311980549,165075
1,Friesland,2.0,0.2490223607156121,262858
1,Friesland,1.0,0.265933786706594,263506
2,Friesland,2.0,0.0451492140155489,262858
2,Friesland,1.0,0.0458194730244725,263506
3,Friesland,1.0,0.1603476450310063,263506
3,Friesland,2.0,0.1721663433464542,262858
4,Friesland,1.0,0.4844494687415646,263506
4,Friesland,2.0,0.4925239950792611,262858
5,Friesland,2.0,0.0411380868431236,262858
5,Friesland,1.0,0.0434496264963634,263506
1,Gelderland,1.0,0.2563170965114885,861056
1,Gelderland,2.0,0.2418430954634061,834400
2,Gelderland,1.0,0.0518169803705148,861056
2,Gelderland,2.0,0.0496651150631717,834400
3,Gelderland,2.0,0.195110684914862,834400
3,Gelderland,1.0,0.1773495070673963,861056
4,Gelderland,1.0,0.4753413376941889,861056
4,Gelderland,2.0,0.4774932589800537,834400
5,Gelderland,1.0,0.0391750783564074,861056
5,Gelderland,2.0,0.0358878455785027,834400
1,Groningen,2.0,0.2526022889868639,239663
1,Groningen,1.0,0.2697935950447242,242355
2,Groningen,1.0,0.0627602044457867,242355
2,Groningen,2.0,0.0611926329633912,239663
3,Groningen,1.0,0.2109136813327389,242355
3,Groningen,2.0,0.2232527830411899,239663
4,Groningen,1.0,0.4065069200799874,242355
4,Groningen,2.0,0.4150790076239065,239663
5,Groningen,2.0,0.0478732873846483,239663
5,Groningen,1.0,0.0500255990967585,242355
1,Limburg,2.0,0.231548459739314,458823
1,Limburg,1.0,0.2435409865343533,468933
2,Limburg,2.0,0.0700865586420459,458823
2,Limburg,1.0,0.0715382424125685,468933
3,Limburg,1.0,0.1617417137246248,468933
3,Limburg,2.0,0.183291987108114,458823
4,Limburg,1.0,0.4947030513088736,468933
4,Limburg,2.0,0.4872448958971353,458823
5,Limburg,1.0,0.0284760060195806,468933
5,Limburg,2.0,0.027828098613392,458823
1,Noord-Brabant,1.0,0.2540383469329186,1050191
1,Noord-Brabant,2.0,0.2390250928273264,1042971
2,Noord-Brabant,1.0,0.0541822774268789,1050191
2,Noord-Brabant,2.0,0.050631047656582,1042971
3,Noord-Brabant,2.0,0.1939126258085085,1042971
3,Noord-Brabant,1.0,0.1721886509432781,1050191
4,Noord-Brabant,2.0,0.4810155587628951,1042971
4,Noord-Brabant,1.0,0.4814625985690455,1050191
5,Noord-Brabant,2.0,0.0354156749446831,1042971
5,Noord-Brabant,1.0,0.0381281261278769,1050191
1,Noord-Holland,1.0,0.2433389106443549,1181912
1,Noord-Holland,2.0,0.2315138376551397,1134276
2,Noord-Holland,1.0,0.0547664664110919,1181912
2,Noord-Holland,2.0,0.0520766474988537,1134276
3,Noord-Holland,2.0,0.2198104675764764,1134276
3,Noord-Holland,1.0,0.2040010695765406,1181912
4,Noord-Holland,2.0,0.4711119645630259,1134276
4,Noord-Holland,1.0,0.4715891198807933,1181912
5,Noord-Holland,1.0,0.0263044334872153,1181912
5,Noord-Holland,2.0,0.0254870827065044,1134276
1,Overijssel,1.0,0.2980527320220418,466719
1,Overijssel,2.0,0.2817799256775674,466030
2,Overijssel,1.0,0.057644817947187,466719
2,Overijssel,2.0,0.0561418389894866,466030
3,Overijssel,2.0,0.175963538431462,466030
3,Overijssel,1.0,0.1586024556047533,466719
4,Overijssel,1.0,0.4484005711580612,466719
4,Overijssel,2.0,0.4525366173130095,466030
5,Overijssel,1.0,0.0372994232679515,466719
5,Overijssel,2.0,0.0335780795884754,466030
1,Utrecht,1.0,0.2466387022520033,552881
1,Utrecht,2.0,0.2300718168498711,525003
2,Utrecht,2.0,0.0460371896510312,525003
2,Utrecht,1.0,0.0486995279524955,552881
3,Utrecht,2.0,0.2215890650563543,525003
3,Utrecht,1.0,0.2046945707311848,552881
4,Utrecht,1.0,0.4755175159484838,552881
4,Utrecht,2.0,0.4791911676808348,525003
5,Utrecht,1.0,0.0244496831158323,552881
5,Utrecht,2.0,0.0231107607619077,525003
1,Zeeland,1.0,0.1574,47427
1,Zeeland,2.0,0.4779,44544
2,Zeeland,1.0,0.6956,35682
2,Zeeland,2.0,0.2292,35277
3,Zeeland,1.0,0.8332,38450
3,Zeeland,2.0,0.3927,32328
4,Zeeland,1.0,0.1922,47567
4,Zeeland,2.0,0.0461,40363
5,Zeeland,1.0,0.213,34170
5,Zeeland,2.0,0.9925,38949
1,Zuid-Holland,1.0,0.8817,40891
1,Zuid-Holland,2.0,0.1094,35497
2,Zuid-Holland,1.0,0.318,46997
2,Zuid-Holland,2.0,0.0247,48715
3,Zuid-Holland,1.0,0.8418,36519
3,Zuid-Holland,2.0,0.2256,32366
4,Zuid-Holland,1.0,0.7877,38617
4,Zuid-Holland,2.0,0.3561,36445
5,Zuid-Holland,1.0,0.92,33915
5,Zuid-Holland,2.0,0.8224,42907
